iter	MultiClass
0	1.756003704
1	1.724134768
2	1.691229502
3	1.660670973
4	1.63101289
5	1.601910369
6	1.574798131
7	1.547911066
8	1.521977111
9	1.497086994
10	1.472612246
11	1.449602236
12	1.427162758
13	1.405677497
14	1.384949264
15	1.364269474
16	1.345364015
17	1.326157913
18	1.307792639
19	1.289814469
20	1.27226793
21	1.255332307
22	1.238606016
23	1.222622327
24	1.206961086
25	1.191798603
26	1.177223349
27	1.162640315
28	1.148087084
29	1.134233034
30	1.120428169
31	1.107348373
32	1.094344311
33	1.082170781
34	1.069870623
35	1.057817791
36	1.045697289
37	1.034256854
38	1.023033906
39	1.011943572
40	1.000866426
41	0.9900900282
42	0.9796902485
43	0.9693683767
44	0.9593279288
45	0.9493893359
46	0.9399960953
47	0.9308912942
48	0.9217736082
49	0.9123776511
50	0.9035366234
51	0.8948929452
52	0.886564063
53	0.8778079417
54	0.8697124489
55	0.8616289783
56	0.853716322
57	0.8460516548
58	0.8384082341
59	0.8305636367
60	0.823146486
61	0.8155239804
62	0.8081597917
63	0.8009487085
64	0.7937838751
65	0.786922599
66	0.7801820388
67	0.7734085641
68	0.7667319265
69	0.7602520396
70	0.7537177548
71	0.747589098
72	0.7413332241
73	0.7351820821
74	0.7290641436
75	0.7232031298
76	0.7173409727
77	0.7115861338
78	0.7057102417
79	0.7000342833
80	0.6944413572
81	0.6889898021
82	0.6836333314
83	0.6783487647
84	0.6729361533
85	0.6679081105
86	0.663355604
87	0.6582431479
88	0.6531781085
89	0.6481446141
90	0.6432682692
91	0.6385918296
92	0.6338621605
93	0.6290145654
94	0.6245184856
95	0.6201240864
96	0.6154764212
97	0.611014474
98	0.6065311616
99	0.6021420126
100	0.5980079526
101	0.594153737
102	0.5899778997
103	0.5858275118
104	0.5816410206
105	0.5778430413
106	0.5737598194
107	0.5698080646
108	0.5661085111
109	0.5622184677
110	0.5584332251
111	0.5547272202
112	0.5510403311
113	0.5472718964
114	0.5436249391
115	0.540068434
116	0.5365305856
117	0.5330967506
118	0.5297210375
119	0.5264014866
120	0.5232139209
121	0.5197821086
122	0.5165345936
123	0.5132108578
124	0.510113013
125	0.5071023244
126	0.5040246839
127	0.5007368636
128	0.4976901934
129	0.4946557178
130	0.4916820967
131	0.488814415
132	0.4859496689
133	0.4829851638
134	0.4799855544
135	0.4771207117
136	0.4741733556
137	0.4714917654
138	0.4687557523
139	0.4659290782
140	0.4632687214
141	0.4605540465
142	0.4579231108
143	0.4553824332
144	0.4527310265
145	0.4501675938
146	0.4475995794
147	0.4449673177
148	0.4423739357
149	0.4399640572
150	0.4375172666
151	0.4350570361
152	0.4326801345
153	0.4304268888
154	0.4281813324
155	0.4259823273
156	0.4237090612
157	0.421428565
158	0.4190897823
159	0.4168656571
160	0.4146165448
161	0.4125741616
162	0.4104074193
163	0.40829726
164	0.4061936367
165	0.4040481371
166	0.4019639677
167	0.4000633551
168	0.3980588743
169	0.3960392039
170	0.3941292959
171	0.3920636502
172	0.3900585314
173	0.3880716216
174	0.3861312631
175	0.3842751214
176	0.3826781758
177	0.3806794924
178	0.3787617712
179	0.3768150841
180	0.3752007284
181	0.3733924203
182	0.3715426436
183	0.3697746034
184	0.3680082265
185	0.3662796993
186	0.3646023572
187	0.3629329662
188	0.3612386038
189	0.3595847724
190	0.3581297561
191	0.3564237222
192	0.3548768529
193	0.3532329875
194	0.3517136562
195	0.3501041357
196	0.3484621055
197	0.3470224505
198	0.3456981967
199	0.3441397587
200	0.3425871604
201	0.3410758415
202	0.3397213026
203	0.3383470376
204	0.3368510253
205	0.3354461453
206	0.3340443739
207	0.3326653318
208	0.3312404506
209	0.3298586145
210	0.3284915028
211	0.3271229373
212	0.3258751033
213	0.324786026
214	0.3234895323
215	0.3222739317
216	0.3209147977
217	0.3195850738
218	0.3184040918
219	0.3170392032
220	0.3158126615
221	0.3147265887
222	0.3136793441
223	0.3126634925
224	0.3114831531
225	0.3103059278
226	0.3090042791
227	0.3078025775
228	0.3066741535
229	0.3054222927
230	0.3043038259
231	0.303108546
232	0.3019426706
233	0.3008013745
234	0.2998743231
235	0.298777164
236	0.2976770898
237	0.2965173886
238	0.2956034871
239	0.2945211393
240	0.293390208
241	0.2923146072
242	0.2913244146
243	0.2902405153
244	0.2892053962
245	0.2882568634
246	0.2871888175
247	0.2861479321
248	0.2852450463
249	0.2841547008
250	0.2830998016
251	0.2821537121
252	0.281341647
253	0.2805646376
254	0.2797470462
255	0.2788209575
256	0.2778829035
257	0.2768714559
258	0.2761979547
259	0.2752113081
260	0.2743285641
261	0.2733529424
262	0.27257153
263	0.2717252503
264	0.2708921523
265	0.2700643465
266	0.269220597
267	0.2685912015
268	0.2677946341
269	0.2669699151
270	0.2661311897
271	0.2653003821
272	0.2646600708
273	0.2637486065
274	0.2628295767
275	0.2620674112
276	0.2612452323
277	0.2605290193
278	0.259711825
279	0.2589192603
280	0.2581541724
281	0.2573867093
282	0.256825137
283	0.2560671229
284	0.2554622775
285	0.2547708489
286	0.254052552
287	0.2532980052
288	0.2525668346
289	0.2517589379
290	0.2511117511
291	0.250496197
292	0.24976599
293	0.2491575709
294	0.2484994573
295	0.247852128
296	0.2471991487
297	0.2465763496
298	0.2460787115
299	0.2454465146
300	0.2448488502
301	0.2442595939
302	0.2437147646
303	0.243133089
304	0.2423928937
305	0.2418900025
306	0.2412827915
307	0.2407313401
308	0.2401722045
309	0.2395350272
310	0.2389887514
311	0.238493176
312	0.2379136632
313	0.2374021426
314	0.2368389947
315	0.2361962297
316	0.2356564933
317	0.2352574581
318	0.2347331116
319	0.2342363345
320	0.2335202517
321	0.2330383931
322	0.232448189
323	0.2321885338
324	0.2318069222
325	0.2313312611
326	0.2309805755
327	0.2306390202
328	0.230308757
329	0.2297865415
330	0.2292874997
331	0.2288226109
332	0.228353101
333	0.2277154854
334	0.2273512149
335	0.2267515669
336	0.2262114552
337	0.2257336523
338	0.225189138
339	0.2248976212
340	0.2246066778
341	0.2240200753
342	0.2235540618
343	0.2232488225
344	0.2227731683
345	0.2222502444
346	0.2217694461
347	0.2212899077
348	0.2207078279
349	0.2204250281
