iter	Passed	Remaining
0	219	219283
1	267	133333
2	310	103177
3	354	88217
4	403	80313
5	446	74010
6	497	70569
7	540	66982
8	582	64099
9	624	61852
10	675	60715
11	718	59183
12	764	58049
13	815	57432
14	861	56565
15	918	56477
16	963	55710
17	1007	54953
18	1048	54128
19	1091	53483
20	1137	53044
21	1190	52920
22	1242	52797
23	1300	52869
24	1366	53277
25	1426	53440
26	1486	53558
27	1529	53102
28	1574	52722
29	1615	52234
30	1684	52640
31	1746	52829
32	1795	52611
33	1849	52556
34	1931	53263
35	1983	53106
36	2024	52683
37	2063	52233
38	2104	51845
39	2149	51593
40	2189	51216
41	2232	50914
42	2274	50629
43	2314	50297
44	2359	50066
45	2412	50036
46	2473	50147
47	2544	50469
48	2646	51363
49	2745	52159
50	2832	52705
51	2908	53030
52	2970	53083
53	3030	53085
54	3091	53110
55	3163	53333
56	3233	53491
57	3291	53463
58	3348	53410
59	3411	53447
60	3467	53381
61	3530	53410
62	3581	53260
63	3648	53359
64	3706	53311
65	3758	53195
66	3811	53071
67	3864	52959
68	3928	53010
69	3984	52941
70	4041	52882
71	4097	52817
72	4160	52829
73	4214	52742
74	4275	52728
75	4331	52665
76	4388	52606
77	4443	52524
78	4505	52529
79	4561	52458
80	4611	52319
81	4664	52220
82	4714	52087
83	4769	52013
84	4822	51918
85	4874	51802
86	4929	51727
87	4979	51606
88	5029	51482
89	5127	51840
90	5200	51952
91	5276	52074
92	5345	52136
93	5429	52332
94	5489	52290
95	5550	52265
96	5610	52226
97	5680	52284
98	5747	52308
99	5810	52295
100	5870	52250
101	5934	52250
102	5979	52070
103	6029	51946
104	6083	51856
105	6133	51733
106	6181	51586
107	6224	51411
108	6270	51259
109	6314	51089
110	6408	51328
111	6513	51644
112	6585	51695
113	6681	51930
114	6776	52149
115	6860	52285
116	6925	52270
117	6985	52216
118	7041	52131
119	7099	52060
120	7147	51921
121	7196	51790
122	7241	51633
123	7288	51491
124	7358	51507
125	7429	51531
126	7491	51499
127	7781	53014
128	8029	54217
129	8128	54401
130	8223	54549
131	8361	54986
132	8518	55530
133	8628	55763
134	8723	55892
135	8791	55854
136	8871	55882
137	8973	56049
138	9049	56056
139	9126	56062
140	9202	56063
141	9266	55991
142	9337	55961
143	9388	55812
144	9448	55711
145	9496	55546
146	9542	55371
147	9588	55199
148	9640	55059
149	9698	54957
150	9745	54791
151	9791	54627
152	9844	54501
153	9905	54417
154	9959	54296
155	10023	54231
156	10232	54942
157	10353	55176
158	10531	55706
159	10623	55771
160	10709	55811
161	10796	55849
162	10898	55963
163	10969	55915
164	11026	55803
165	11089	55716
166	11170	55717
167	11233	55632
168	11294	55537
169	11349	55411
170	11411	55322
171	11466	55201
172	11528	55108
173	11583	54989
174	11689	55109
175	11779	55151
176	11864	55166
177	11923	55063
178	11973	54917
179	12018	54748
180	12063	54583
181	12111	54435
182	12169	54332
183	12227	54225
184	12320	54275
185	12426	54382
186	12482	54270
187	12540	54163
188	12601	54071
189	12670	54015
190	12723	53892
191	12774	53758
192	12825	53627
193	12869	53467
194	12922	53348
195	12970	53205
196	13024	53088
197	13073	52955
198	13126	52835
199	13184	52738
200	13238	52625
201	13293	52515
202	13350	52415
203	13398	52278
204	13452	52170
205	13503	52048
206	13693	52457
207	13761	52397
208	13832	52350
209	13923	52377
210	13979	52275
211	14030	52151
212	14080	52024
213	14133	51910
214	14199	51844
215	14256	51745
216	14320	51673
217	14376	51571
218	14435	51480
219	14484	51352
220	14535	51234
221	14598	51159
222	14659	51076
223	14703	50938
224	14749	50802
225	14800	50687
226	14852	50576
227	14915	50504
228	14998	50497
229	15088	50513
230	15160	50468
231	15206	50337
232	15250	50201
233	15298	50078
234	15341	49941
235	15395	49838
236	15452	49748
237	15501	49630
238	15547	49504
239	15690	49687
240	15743	49582
241	15792	49466
242	15838	49341
243	15886	49223
244	15947	49144
245	15994	49024
246	16055	48946
247	16108	48846
248	16166	48758
249	16215	48646
250	16265	48537
251	16316	48430
252	16367	48325
253	16429	48253
254	16477	48140
255	16526	48028
256	16576	47923
257	16626	47817
258	16680	47721
259	16734	47627
260	16789	47536
261	16845	47449
262	16900	47359
263	16944	47239
264	16987	47115
265	17029	46991
266	17078	46886
267	17124	46772
268	17177	46678
269	17224	46571
270	17268	46452
271	17314	46342
272	17376	46272
273	17453	46246
274	17511	46167
275	17572	46095
276	17633	46026
277	17713	46003
278	17763	45904
279	17813	45805
280	17861	45703
281	17997	45822
282	18048	45727
283	18106	45647
284	18171	45589
285	18232	45517
286	18291	45441
287	18345	45354
288	18400	45270
289	18460	45195
290	18505	45087
291	18552	44983
292	18598	44877
293	18640	44762
294	18688	44661
295	18732	44554
296	18777	44445
297	18822	44339
298	18864	44227
299	18921	44150
300	18971	44055
301	19020	43961
302	19069	43865
303	19115	43763
304	19177	43700
305	19225	43603
306	19277	43516
307	19325	43419
308	19374	43325
309	19436	43262
310	19518	43242
311	19659	43350
312	19724	43293
313	19779	43212
314	19838	43141
315	19924	43127
316	20011	43116
317	20312	43563
318	20438	43632
319	20547	43663
320	20626	43630
321	20728	43645
322	20845	43690
323	21012	43840
324	21136	43899
325	21335	44111
326	21432	44110
327	21479	44007
328	21527	43905
329	21583	43821
330	21651	43760
331	21799	43861
332	21861	43788
333	21929	43727
334	21978	43628
335	22031	43537
336	22082	43444
337	22131	43346
338	22191	43269
339	22232	43157
340	22274	43046
341	22316	42936
342	22365	42839
343	22421	42757
344	22472	42664
345	22522	42572
346	22573	42479
347	22621	42383
348	22671	42290
349	22714	42184
350	22756	42076
351	22799	41971
352	22841	41865
353	22885	41762
354	22933	41668
355	22974	41559
356	23014	41451
357	23054	41342
358	23096	41239
359	23144	41146
360	23193	41055
361	23261	40996
362	23318	40919
363	23381	40852
364	23451	40798
365	23499	40707
366	23543	40607
367	23583	40501
368	23623	40397
369	23677	40315
370	23721	40218
371	23768	40125
372	23817	40035
373	23867	39949
374	23936	39894
375	23984	39804
376	24030	39710
377	24079	39623
378	24134	39544
379	24204	39492
380	24256	39408
381	24301	39314
382	24345	39220
383	24429	39189
384	24489	39120
385	24536	39029
386	24583	38939
387	24629	38848
388	24686	38775
389	24738	38694
390	24790	38612
391	24841	38528
392	24885	38436
393	24945	38367
394	25041	38354
395	25124	38321
396	25213	38297
397	25271	38225
398	25332	38157
399	25395	38093
400	25454	38023
401	25511	37949
402	25568	37876
403	25620	37796
404	25675	37721
405	25724	37636
406	25772	37551
407	25823	37469
408	25874	37388
409	25929	37313
410	25973	37222
411	26020	37135
412	26066	37048
413	26114	36963
414	26184	36911
415	26232	36825
416	26278	36738
417	26318	36644
418	26362	36555
419	26405	36464
420	26455	36383
421	26497	36292
422	26543	36207
423	26584	36114
424	26627	36024
425	26680	35949
426	26726	35864
427	26774	35782
428	26818	35695
429	26857	35601
430	26902	35515
431	26944	35426
432	26988	35340
433	27031	35253
434	27071	35162
435	27117	35079
436	27168	35001
437	27211	34915
438	27263	34840
439	27309	34757
440	27356	34676
441	27410	34603
442	27452	34517
443	27495	34431
444	27532	34338
445	27574	34251
446	27616	34164
447	27668	34091
448	27709	34004
449	27751	33918
450	27793	33832
451	27833	33744
452	27872	33656
453	27924	33582
454	27965	33496
455	28005	33409
456	28044	33321
457	28083	33234
458	28124	33149
459	28169	33068
460	28213	32987
461	28260	32909
462	28304	32828
463	28347	32746
464	28390	32664
465	28440	32590
466	28480	32505
467	28523	32424
468	28565	32341
469	28605	32257
470	28646	32173
471	28696	32101
472	28737	32017
473	28780	31938
474	28822	31856
475	28863	31774
476	28911	31699
477	28953	31619
478	28993	31535
479	29032	31451
480	29075	31372
481	29116	31291
482	29163	31216
483	29205	31136
484	29247	31056
485	29286	30974
486	29331	30897
487	29378	30822
488	29426	30750
489	29473	30677
490	29520	30602
491	29559	30520
492	29598	30438
493	29636	30356
494	29685	30285
495	29725	30204
496	29764	30124
497	29808	30047
498	29852	29971
499	29892	29892
500	29940	29820
501	29977	29738
502	30023	29665
503	30062	29585
504	30102	29506
505	30146	29431
506	30195	29361
507	30235	29283
508	30278	29208
509	30318	29129
510	30360	29052
511	30402	28977
512	30443	28900
513	30481	28820
514	30531	28753
515	30580	28683
516	30627	28613
517	30682	28550
518	30724	28474
519	30764	28397
520	30804	28321
521	30845	28245
522	30886	28169
523	30934	28101
524	30975	28025
525	31013	27947
526	31054	27872
527	31093	27795
528	31133	27720
529	31179	27649
530	31219	27574
531	31259	27499
532	31301	27425
533	31341	27350
534	31380	27274
535	31428	27206
536	31471	27134
537	31511	27060
538	31553	26986
539	31593	26912
540	31641	26845
541	31706	26792
542	31760	26729
543	31804	26659
544	31843	26585
545	31884	26511
546	31931	26444
547	31971	26370
548	32012	26298
549	32054	26226
550	32095	26154
551	32136	26081
552	32181	26013
553	32220	25938
554	32270	25874
555	32309	25801
556	32354	25732
557	32407	25670
558	32454	25603
559	32498	25534
560	32546	25468
561	32587	25397
562	32628	25325
563	32673	25258
564	32715	25188
565	32758	25118
566	32805	25052
567	32849	24984
568	32898	24919
569	32937	24847
570	32977	24776
571	33019	24707
572	33059	24635
573	33099	24565
574	33139	24494
575	33185	24428
576	33226	24358
577	33266	24288
578	33311	24221
579	33351	24150
580	33401	24088
581	33446	24021
582	33485	23950
583	33532	23886
584	33570	23815
585	33610	23745
586	33656	23680
587	33697	23610
588	33737	23541
589	33781	23474
590	33825	23408
591	33877	23347
592	33939	23294
593	33982	23227
594	34024	23159
595	34064	23090
596	34104	23021
597	34157	22962
598	34198	22894
599	34239	22826
600	34281	22759
601	34323	22692
